scenario,seed,n,model,AUROC,PR_AUC,Brier
moderate_signal,80,1500,LogisticRegression,0.6958,0.4244,0.2223
moderate_signal,81,1500,LogisticRegression,0.6723,0.4089,0.226
moderate_signal,82,1500,LogisticRegression,0.682,0.4376,0.2238
moderate_signal,83,1500,LogisticRegression,0.6272,0.3829,0.2376
moderate_signal,84,1500,LogisticRegression,0.7038,0.4398,0.2193
moderate_signal,85,1500,LogisticRegression,0.6872,0.4323,0.2227
moderate_signal,86,1500,LogisticRegression,0.6887,0.4621,0.2202
moderate_signal,87,1500,LogisticRegression,0.6783,0.4418,0.2245
moderate_signal,88,1500,LogisticRegression,0.6419,0.3832,0.2334
moderate_signal,89,1500,LogisticRegression,0.6711,0.4052,0.2273
moderate_signal,90,1500,LogisticRegression,0.6894,0.4424,0.2217
moderate_signal,91,1500,LogisticRegression,0.6642,0.4233,0.2269
moderate_signal,92,1500,LogisticRegression,0.6661,0.4277,0.2269
moderate_signal,93,1500,LogisticRegression,0.6797,0.3972,0.2267
moderate_signal,94,1500,LogisticRegression,0.6787,0.4343,0.2246
moderate_signal,95,1500,LogisticRegression,0.6691,0.4136,0.2271
moderate_signal,96,1500,LogisticRegression,0.6742,0.4231,0.2248
moderate_signal,97,1500,LogisticRegression,0.6892,0.444,0.2215
moderate_signal,98,1500,LogisticRegression,0.6464,0.41,0.231
moderate_signal,99,1500,LogisticRegression,0.6655,0.4039,0.2295
moderate_signal,100,1500,LogisticRegression,0.6708,0.3969,0.2275
wbv_positive,1,1500,LogisticRegression,0.845,0.6538,0.1622
wbv_positive,2,1500,LogisticRegression,0.8245,0.6597,0.1698
wbv_positive,3,1500,LogisticRegression,0.8368,0.6296,0.1652
wbv_positive,4,1500,LogisticRegression,0.8224,0.6422,0.1714
wbv_positive,5,1500,LogisticRegression,0.8146,0.6226,0.1767
wbv_positive,6,1500,LogisticRegression,0.8257,0.6311,0.172
wbv_positive,7,1500,LogisticRegression,0.8593,0.7004,0.1534
wbv_positive,8,1500,LogisticRegression,0.8335,0.6377,0.1674
wbv_positive,9,1500,LogisticRegression,0.8347,0.6245,0.1669
wbv_positive,10,1500,LogisticRegression,0.8223,0.6197,0.1723
wbv_positive,11,1500,LogisticRegression,0.8321,0.6502,0.1672
wbv_positive,12,1500,LogisticRegression,0.8379,0.6477,0.1661
wbv_positive,13,1500,LogisticRegression,0.8274,0.6449,0.1699
wbv_positive,14,1500,LogisticRegression,0.8366,0.6494,0.1639
wbv_positive,15,1500,LogisticRegression,0.8341,0.6143,0.1671
wbv_positive,16,1500,LogisticRegression,0.8264,0.6238,0.1704
wbv_positive,17,1500,LogisticRegression,0.8436,0.6613,0.1606
wbv_positive,18,1500,LogisticRegression,0.8196,0.6289,0.1736
wbv_positive,19,1500,LogisticRegression,0.8307,0.6343,0.1676
wbv_positive,20,1500,LogisticRegression,0.8144,0.6284,0.1769
wbv_positive,21,1500,LogisticRegression,0.8352,0.6358,0.167
wbv_positive,22,1500,LogisticRegression,0.848,0.683,0.1595
wbv_positive,23,1500,LogisticRegression,0.809,0.6113,0.1784
wbv_positive,24,1500,LogisticRegression,0.8204,0.6179,0.1718
wbv_positive,25,1500,LogisticRegression,0.824,0.6263,0.1723
wbv_positive,26,1500,LogisticRegression,0.8267,0.6298,0.1703
wbv_positive,27,1500,LogisticRegression,0.8493,0.6514,0.158
wbv_positive,28,1500,LogisticRegression,0.8515,0.6599,0.1581
wbv_positive,29,1500,LogisticRegression,0.8469,0.6722,0.1594
wbv_positive,30,1500,LogisticRegression,0.85,0.6434,0.1561
wbv_positive,31,1500,LogisticRegression,0.8503,0.6637,0.1592
wbv_positive,32,1500,LogisticRegression,0.8221,0.6061,0.1724
wbv_positive,33,1500,LogisticRegression,0.8339,0.6437,0.1683
wbv_positive,34,1500,LogisticRegression,0.8131,0.6036,0.1767
wbv_positive,35,1500,LogisticRegression,0.834,0.6583,0.166
wbv_positive,36,1500,LogisticRegression,0.8543,0.6567,0.1572
wbv_positive,37,1500,LogisticRegression,0.8499,0.67,0.1574
wbv_positive,38,1500,LogisticRegression,0.8423,0.6687,0.1632
wbv_positive,39,1500,LogisticRegression,0.8364,0.6423,0.1678
wbv_positive,40,1500,LogisticRegression,0.825,0.6528,0.1712
wbv_positive,41,1500,LogisticRegression,0.8256,0.6172,0.1714
wbv_positive,42,1500,LogisticRegression,0.8289,0.6319,0.169
wbv_positive,43,1500,LogisticRegression,0.8316,0.643,0.1681
wbv_positive,44,1500,LogisticRegression,0.8151,0.5905,0.1768
wbv_positive,45,1500,LogisticRegression,0.8178,0.5861,0.176
wbv_positive,46,1500,LogisticRegression,0.8424,0.6566,0.1619
wbv_positive,47,1500,LogisticRegression,0.8242,0.6163,0.1735
wbv_positive,48,1500,LogisticRegression,0.8445,0.6746,0.1607
wbv_positive,49,1500,LogisticRegression,0.8208,0.6151,0.1737
wbv_positive,50,1500,LogisticRegression,0.8407,0.6757,0.1631
wbv_positive,51,1500,LogisticRegression,0.8474,0.6692,0.1601
wbv_positive,52,1500,LogisticRegression,0.836,0.6289,0.167
wbv_positive,53,1500,LogisticRegression,0.8375,0.6626,0.1662
wbv_positive,54,1500,LogisticRegression,0.819,0.6276,0.1744
wbv_positive,55,1500,LogisticRegression,0.8328,0.6337,0.1674
wbv_positive,56,1500,LogisticRegression,0.8064,0.6122,0.1806
wbv_positive,57,1500,LogisticRegression,0.8438,0.6636,0.1617
wbv_positive,58,1500,LogisticRegression,0.8356,0.6397,0.1661
wbv_positive,59,1500,LogisticRegression,0.828,0.6225,0.1713
wbv_positive,60,1500,LogisticRegression,0.8489,0.6676,0.1586
wbv_positive,61,1500,LogisticRegression,0.8456,0.6703,0.1614
wbv_positive,62,1500,LogisticRegression,0.8557,0.6588,0.1564
wbv_positive,63,1500,LogisticRegression,0.8365,0.6545,0.1642
wbv_positive,64,1500,LogisticRegression,0.8426,0.6728,0.1608
wbv_positive,65,1500,LogisticRegression,0.8254,0.6176,0.1705
wbv_positive,66,1500,LogisticRegression,0.8222,0.6252,0.1726
wbv_positive,67,1500,LogisticRegression,0.8369,0.6423,0.1658
wbv_positive,68,1500,LogisticRegression,0.837,0.652,0.164
wbv_positive,69,1500,LogisticRegression,0.8502,0.6581,0.16
wbv_positive,70,1500,LogisticRegression,0.8295,0.637,0.169
wbv_positive,71,1500,LogisticRegression,0.8399,0.6491,0.1633
wbv_positive,72,1500,LogisticRegression,0.8263,0.6299,0.1711
wbv_positive,73,1500,LogisticRegression,0.8367,0.6321,0.1662
wbv_positive,74,1500,LogisticRegression,0.8252,0.6219,0.171
wbv_positive,75,1500,LogisticRegression,0.8088,0.613,0.1786
