scenario,n,seed,clean_AUROC,clean_Brier,in_null_range,leaky_AUROC,leaky_Brier,auc_inflation
moderate_signal,1500,13,0.68098,0.22301,0,,,
moderate_signal,1500,14,0.68154,0.22271,0,,,
moderate_signal,1500,15,0.67692,0.22545,0,,,
moderate_signal,1500,16,0.66803,0.22834,0,,,
moderate_signal,1500,17,0.67444,0.22506,0,,,
moderate_signal,1500,18,0.67681,0.22447,0,,,
moderate_signal,1500,19,0.68795,0.22272,0,,,
moderate_signal,1500,20,0.66837,0.22734,0,,,
moderate_signal,1500,21,0.62654,0.23662,0,,,
moderate_signal,1500,22,0.67693,0.22608,0,,,
moderate_signal,1500,23,0.67679,0.22571,0,,,
moderate_signal,1500,24,0.65756,0.23039,0,,,
moderate_signal,1500,25,0.67688,0.22649,0,,,
moderate_signal,1500,26,0.66571,0.22799,0,,,
moderate_signal,1500,27,0.70081,0.21919,0,,,
moderate_signal,1500,28,0.70557,0.21659,0,,,
moderate_signal,1500,29,0.66989,0.22543,0,,,
moderate_signal,1500,30,0.67724,0.22519,0,,,
wbv_positive,1500,1,0.84505,0.16222,0,,,
wbv_positive,1500,2,0.82453,0.1698,0,,,
wbv_positive,1500,3,0.83681,0.16521,0,,,
wbv_positive,1500,4,0.8224,0.17137,0,,,
wbv_positive,1500,5,0.81458,0.17674,0,,,
wbv_positive,1500,6,0.82564,0.17196,0,,,
wbv_positive,1500,7,0.85925,0.15336,0,,,
wbv_positive,1500,8,0.83349,0.16738,0,,,
wbv_positive,1500,9,0.83469,0.16692,0,,,
wbv_positive,1500,10,0.82232,0.17233,0,,,
wbv_positive,1500,11,0.83209,0.16719,0,,,
wbv_positive,1500,12,0.8379,0.16605,0,,,
wbv_positive,1500,13,0.8274,0.16987,0,,,
wbv_positive,1500,14,0.83661,0.16388,0,,,
wbv_positive,1500,15,0.83404,0.16705,0,,,
wbv_positive,1500,16,0.82639,0.17045,0,,,
wbv_positive,1500,17,0.84357,0.16058,0,,,
wbv_positive,1500,18,0.81963,0.17363,0,,,
wbv_positive,1500,19,0.8307,0.16767,0,,,
wbv_positive,1500,20,0.81444,0.17691,0,,,
wbv_positive,1500,21,0.8352,0.16702,0,,,
wbv_positive,1500,22,0.84796,0.15948,0,,,
wbv_positive,1500,23,0.80899,0.1784,0,,,
wbv_positive,1500,24,0.82041,0.17179,0,,,
wbv_positive,1500,25,0.82403,0.1723,0,,,
wbv_positive,1500,26,0.82672,0.17028,0,,,
wbv_positive,1500,27,0.84931,0.15801,0,,,
wbv_positive,1500,28,0.85154,0.15811,0,,,
wbv_positive,1500,29,0.84694,0.15935,0,,,
wbv_positive,1500,30,0.84996,0.15607,0,,,
null,3000,1,0.51206,0.25025,1,,,
null,3000,2,0.49045,0.25114,1,,,
null,3000,3,0.47022,0.25167,1,,,
null,3000,4,0.50887,0.25083,1,,,
null,3000,5,0.48809,0.25139,1,,,
null,3000,6,0.49381,0.25127,1,,,
null,3000,7,0.4909,0.2512,1,,,
null,3000,8,0.51072,0.25068,1,,,
null,3000,9,0.50744,0.2505,1,,,
null,3000,10,0.53281,0.24934,1,,,
null,3000,11,0.50313,0.25054,1,,,
null,3000,12,0.4963,0.25101,1,,,
null,3000,13,0.52283,0.25003,1,,,
null,3000,14,0.48589,0.2507,1,,,
null,3000,15,0.48157,0.25103,1,,,
null,3000,16,0.4986,0.25122,1,,,
null,3000,17,0.51954,0.24996,1,,,
null,3000,18,0.51291,0.24976,1,,,
null,3000,19,0.51272,0.25088,1,,,
null,3000,20,0.51125,0.25091,1,,,
null,3000,21,0.50457,0.24994,1,,,
null,3000,22,0.52462,0.24952,1,,,
null,3000,23,0.48844,0.25125,1,,,
null,3000,24,0.49976,0.25077,1,,,
null,3000,25,0.50425,0.25043,1,,,
null,3000,26,0.48148,0.251,1,,,
null,3000,27,0.4957,0.25071,1,,,
null,3000,28,0.50533,0.25019,1,,,
null,3000,29,0.48429,0.25182,1,,,
null,3000,30,0.49476,0.25124,1,,,
weak_signal,3000,1,0.55398,0.24803,0,,,
weak_signal,3000,2,0.59006,0.24275,0,,,
weak_signal,3000,3,0.5981,0.24213,0,,,
weak_signal,3000,4,0.60025,0.24157,0,,,
weak_signal,3000,5,0.60142,0.24144,0,,,
weak_signal,3000,6,0.61118,0.24041,0,,,
weak_signal,3000,7,0.5949,0.24267,0,,,
weak_signal,3000,8,0.58272,0.24434,0,,,
weak_signal,3000,9,0.57611,0.24492,0,,,
weak_signal,3000,10,0.60016,0.24136,0,,,
weak_signal,3000,11,0.56142,0.24738,0,,,
weak_signal,3000,12,0.59821,0.24278,0,,,
weak_signal,3000,13,0.5879,0.24371,0,,,
weak_signal,3000,14,0.59054,0.24306,0,,,
weak_signal,3000,15,0.59994,0.24173,0,,,
weak_signal,3000,16,0.5916,0.24421,0,,,
weak_signal,3000,17,0.57822,0.24467,0,,,
weak_signal,3000,18,0.595,0.24257,0,,,
weak_signal,3000,19,0.59207,0.24332,0,,,
weak_signal,3000,20,0.59308,0.24303,0,,,
weak_signal,3000,21,0.5862,0.24368,0,,,
weak_signal,3000,22,0.62087,0.23888,0,,,
weak_signal,3000,23,0.57574,0.24461,0,,,
weak_signal,3000,24,0.60797,0.24095,0,,,
weak_signal,3000,25,0.57767,0.24562,0,,,
weak_signal,3000,26,0.59031,0.24352,0,,,
weak_signal,3000,27,0.58369,0.24473,0,,,
weak_signal,3000,28,0.60333,0.24162,0,,,
weak_signal,3000,29,0.59873,0.2424,0,,,
weak_signal,3000,30,0.60692,0.24069,0,,,
moderate_signal,3000,1,0.67265,0.22576,0,,,
moderate_signal,3000,2,0.67695,0.22426,0,,,
moderate_signal,3000,3,0.67636,0.22404,0,,,
moderate_signal,3000,4,0.70404,0.21736,0,,,
moderate_signal,3000,5,0.67252,0.22532,0,,,
moderate_signal,3000,6,0.68746,0.22266,0,,,
moderate_signal,3000,7,0.66878,0.22568,0,,,
moderate_signal,3000,8,0.65099,0.2318,0,,,
moderate_signal,3000,9,0.67074,0.22566,0,,,
moderate_signal,3000,10,0.69187,0.22101,0,,,
moderate_signal,3000,11,0.67239,0.22613,0,,,
moderate_signal,3000,12,0.67063,0.22586,0,,,
moderate_signal,3000,13,0.68905,0.22281,0,,,
moderate_signal,3000,14,0.69351,0.21915,0,,,
