pipeline,model,seed,AUROC_mean_folds,PR_AUC_mean_folds,n_folds_valid,cohort,label
leaky_discharge_location,SVM,28,0.9856388626333036,0.6028289596402585,5,eICU,label24h
leaky_discharge_location,XGBoost,28,0.9892289227815219,0.7260419311051132,5,eICU,label24h
leaky_discharge_location,LogisticRegression,29,0.9856926894614233,0.6074911852356296,5,eICU,label24h
leaky_discharge_location,RandomForest,29,0.9875614050917152,0.6837690577221713,5,eICU,label24h
leaky_discharge_location,SVM,29,0.985535448101382,0.6002602773811823,5,eICU,label24h
leaky_discharge_location,XGBoost,29,0.9892052664401675,0.7252695770478128,5,eICU,label24h
leaky_discharge_location,LogisticRegression,30,0.9857859385703378,0.6099717830197259,5,eICU,label24h
leaky_discharge_location,RandomForest,30,0.9875947346634604,0.6849414334591436,5,eICU,label24h
leaky_discharge_location,SVM,30,0.9856299206600088,0.6026543948699259,5,eICU,label24h
leaky_discharge_location,XGBoost,30,0.989303882283202,0.7267660660312922,5,eICU,label24h
leaky_definitional,LogisticRegression,1,0.9999879114393131,0.9995902181551303,5,eICU,label24h
leaky_definitional,RandomForest,1,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,1,0.9999963200155546,0.9998753655774959,5,eICU,label24h
leaky_definitional,XGBoost,1,0.9999998009189539,0.999993193533995,5,eICU,label24h
leaky_definitional,LogisticRegression,2,0.9999889359849364,0.9996263300559706,5,eICU,label24h
leaky_definitional,RandomForest,2,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,2,0.999996897669553,0.9998950180883028,5,eICU,label24h
leaky_definitional,XGBoost,2,0.9999997087376302,0.9999900453331622,5,eICU,label24h
leaky_definitional,LogisticRegression,3,0.9999874590487494,0.9995763888658151,5,eICU,label24h
leaky_definitional,RandomForest,3,0.999999970881726,0.9999990073587831,5,eICU,label24h
leaky_definitional,SVM,3,0.9999959898757327,0.9998649203295784,5,eICU,label24h
leaky_definitional,XGBoost,3,0.999999694182917,0.9999895361023222,5,eICU,label24h
leaky_definitional,LogisticRegression,4,0.9999859984810845,0.9995274915543684,5,eICU,label24h
leaky_definitional,RandomForest,4,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,4,0.999996650150953,0.9998866885349207,5,eICU,label24h
leaky_definitional,XGBoost,4,0.9999996601762062,0.9999883860982832,5,eICU,label24h
leaky_definitional,LogisticRegression,5,0.9999882179509522,0.9996039517100452,5,eICU,label24h
leaky_definitional,RandomForest,5,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,5,0.9999966161884812,0.999885738128832,5,eICU,label24h
leaky_definitional,XGBoost,5,0.9999996116413257,0.9999867334055974,5,eICU,label24h
leaky_definitional,LogisticRegression,6,0.9999876044233466,0.9995809205073742,5,eICU,label24h
leaky_definitional,RandomForest,6,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,6,0.9999966594987063,0.9998870591569314,5,eICU,label24h
leaky_definitional,XGBoost,6,0.9999996261429518,0.9999872114319388,5,eICU,label24h
leaky_definitional,LogisticRegression,7,0.9999864357462489,0.9995422595401304,5,eICU,label24h
leaky_definitional,RandomForest,7,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,7,0.9999969848695374,0.9998980143502114,5,eICU,label24h
leaky_definitional,XGBoost,7,0.9999996406666973,0.9999877116574554,5,eICU,label24h
leaky_definitional,LogisticRegression,8,0.9999872553181582,0.9995710555110524,5,eICU,label24h
leaky_definitional,RandomForest,8,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,8,0.9999959025916937,0.999861818184822,5,eICU,label24h
leaky_definitional,XGBoost,8,0.9999996893387193,0.9999893850736395,5,eICU,label24h
leaky_definitional,LogisticRegression,9,0.9999876300732634,0.9995809246799452,5,eICU,label24h
leaky_definitional,RandomForest,9,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,9,0.9999970042463285,0.9998987120934988,5,eICU,label24h
leaky_definitional,XGBoost,9,0.9999996407153604,0.9999877142107503,5,eICU,label24h
leaky_definitional,LogisticRegression,10,0.999988280434468,0.999604438297727,5,eICU,label24h
leaky_definitional,RandomForest,10,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,10,0.9999968833360363,0.9998943909121671,5,eICU,label24h
leaky_definitional,XGBoost,10,0.999999655296617,0.9999882021326518,5,eICU,label24h
leaky_definitional,LogisticRegression,11,0.9999866221217826,0.9995482505569034,5,eICU,label24h
leaky_definitional,RandomForest,11,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,11,0.9999966409580369,0.9998861794956071,5,eICU,label24h
leaky_definitional,XGBoost,11,0.9999996746689842,0.9999888806073542,5,eICU,label24h
leaky_definitional,LogisticRegression,12,0.9999874952718468,0.9995785487590316,5,eICU,label24h
leaky_definitional,RandomForest,12,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,12,0.999996834898482,0.9998930029908515,5,eICU,label24h
leaky_definitional,XGBoost,12,0.9999996262889411,0.9999872320700798,5,eICU,label24h
leaky_definitional,LogisticRegression,13,0.9999864579499281,0.9995420620937014,5,eICU,label24h
leaky_definitional,RandomForest,13,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,13,0.9999963827246907,0.9998773595679378,5,eICU,label24h
leaky_definitional,XGBoost,13,0.9999997329984346,0.9999908770575929,5,eICU,label24h
leaky_definitional,LogisticRegression,14,0.9999866757043614,0.999553379742933,5,eICU,label24h
leaky_definitional,RandomForest,14,0.9999999902939087,0.9999996683670457,5,eICU,label24h
leaky_definitional,SVM,14,0.9999960829595371,0.9998683939756503,5,eICU,label24h
leaky_definitional,XGBoost,14,0.9999996408746217,0.999987737569762,5,eICU,label24h
leaky_definitional,LogisticRegression,15,0.9999854784664043,0.9995086563902739,5,eICU,label24h
leaky_definitional,RandomForest,15,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,15,0.9999967567277285,0.9998902017126463,5,eICU,label24h
leaky_definitional,XGBoost,15,0.9999995922247191,0.9999860552838689,5,eICU,label24h
leaky_definitional,LogisticRegression,16,0.9999880179585776,0.9995950549419561,5,eICU,label24h
leaky_definitional,RandomForest,16,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,16,0.9999965286478547,0.9998825225043543,5,eICU,label24h
leaky_definitional,XGBoost,16,0.9999996553408563,0.9999882404310542,5,eICU,label24h
leaky_definitional,LogisticRegression,17,0.9999859236636661,0.999525934752042,5,eICU,label24h
leaky_definitional,RandomForest,17,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,17,0.9999962657738111,0.9998735016590723,5,eICU,label24h
leaky_definitional,XGBoost,17,0.9999995775594079,0.9999855434600553,5,eICU,label24h
leaky_definitional,LogisticRegression,18,0.9999868921094974,0.9995582350300163,5,eICU,label24h
leaky_definitional,RandomForest,18,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,18,0.9999967858592742,0.9998909381945728,5,eICU,label24h
leaky_definitional,XGBoost,18,0.9999995921273929,0.9999860447020226,5,eICU,label24h
leaky_definitional,LogisticRegression,19,0.9999879163542935,0.999594374653969,5,eICU,label24h
leaky_definitional,RandomForest,19,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,19,0.9999969362240588,0.9998961973216696,5,eICU,label24h
leaky_definitional,XGBoost,19,0.9999996310579323,0.9999873904683764,5,eICU,label24h
leaky_definitional,LogisticRegression,20,0.999986060336403,0.9995278977442641,5,eICU,label24h
leaky_definitional,RandomForest,20,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,20,0.9999962614604844,0.999873601584184,5,eICU,label24h
leaky_definitional,XGBoost,20,0.9999996455861018,0.9999878764632653,5,eICU,label24h
leaky_definitional,LogisticRegression,21,0.999987800292623,0.9995879216032805,5,eICU,label24h
leaky_definitional,RandomForest,21,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,21,0.9999970922204998,0.9999013008438317,5,eICU,label24h
leaky_definitional,XGBoost,21,0.999999650465691,0.999988056088525,5,eICU,label24h
leaky_definitional,LogisticRegression,22,0.9999868040026083,0.9995523827931168,5,eICU,label24h
leaky_definitional,RandomForest,22,1.0,1.0,5,eICU,label24h
leaky_definitional,SVM,22,0.9999962178759759,0.999871140397428,5,eICU,label24h
